Metrics (2),Mon, 9 Jan 2023 12:31:51 EET
Method,CogC,v(G)
"domain.Friendship.Friendship(FriendshipId, LocalDateTime)",0,1
domain.Friendship.getFriendsSince(),0,1
domain.Friendship.getId(),0,1
"domain.FriendshipId.FriendshipId(UUID, UUID)",0,1
domain.FriendshipId.equals(Object),4,5
domain.FriendshipId.getFirstUserId(),0,1
domain.FriendshipId.getSecondUserId(),0,1
domain.FriendshipId.hashCode(),0,1
"domain.FriendshipRequest.FriendshipRequest(FriendshipRequestId, LocalDateTime)",0,1
domain.FriendshipRequest.getCreatedTime(),0,1
domain.FriendshipRequest.getId(),0,1
"domain.FriendshipRequestId.FriendshipRequestId(UUID, UUID)",0,1
domain.FriendshipRequestId.equals(Object),4,5
domain.FriendshipRequestId.getDestinationUserId(),0,1
domain.FriendshipRequestId.getSourceUserId(),0,1
domain.FriendshipRequestId.hashCode(),0,1
"domain.Message.Message(UUID, UUID, UUID, String, LocalDateTime)",0,1
domain.Message.getDestinationUserId(),0,1
domain.Message.getId(),0,1
domain.Message.getSourceUserId(),0,1
domain.Message.getText(),0,1
domain.Message.getTimestamp(),0,1
"domain.User.User(UUID, String)",0,1
domain.User.equals(Object),3,4
domain.User.getId(),0,1
domain.User.getName(),0,1
domain.User.hashCode(),0,1
domain.User.toString(),0,1
gui.AcceptFriendRequestController.initialize(),0,1
gui.AcceptFriendRequestController.onAcceptFriendButtonClicked(ActionEvent),2,3
gui.AcceptFriendRequestController.onFriendNameTyped(KeyEvent),0,1
gui.AcceptFriendRequestController.setServiceFriendship(ServiceFriendship),0,1
gui.AcceptFriendRequestController.setServiceUser(ServiceUser),0,1
gui.AcceptFriendRequestController.setUser(User),0,1
gui.AcceptFriendRequestController.tryUpdate(),2,4
gui.AcceptFriendRequestController.updateListView(),2,2
gui.ChatController.initialize(),0,1
gui.ChatController.onButtonSendClicked(ActionEvent),0,1
gui.ChatController.setDestinationUserId(UUID),0,1
gui.ChatController.setServiceMessage(ServiceMessage),0,1
gui.ChatController.setServiceUser(ServiceUser),0,1
gui.ChatController.setSourceUserId(UUID),0,1
gui.ChatController.tryUpdate(),2,5
gui.ChatController.updateListView(),3,4
gui.ChatListController.initialize(),4,2
gui.ChatListController.onListViewMouseClicked(MouseEvent),1,2
gui.ChatListController.setServiceFriendship(ServiceFriendship),0,1
gui.ChatListController.setServiceMessage(ServiceMessage),0,1
gui.ChatListController.setServiceUser(ServiceUser),0,1
gui.ChatListController.setUser(User),0,1
gui.ChatListController.tryUpdate(),2,4
gui.ChatListController.updateListView(),0,1
"gui.CustomListCell.CustomListCell(EraseFriendRequestController, User, ServiceFriendship)",0,1
"gui.CustomListCell.updateItem(User, boolean)",6,4
gui.EraseFriendRequestController.initialize(),0,1
gui.EraseFriendRequestController.onFriendNameTyped(KeyEvent),0,1
gui.EraseFriendRequestController.setServiceFriendship(ServiceFriendship),0,1
gui.EraseFriendRequestController.setServiceUser(ServiceUser),0,1
gui.EraseFriendRequestController.setUser(User),0,1
gui.EraseFriendRequestController.tryUpdate(),2,4
gui.EraseFriendRequestController.updateListView(),2,2
gui.LogInController.onButtonLogInClicked(ActionEvent),2,3
gui.LogInController.onLinkRegisterClicked(ActionEvent),1,2
gui.LogInController.setServiceFriendship(ServiceFriendship),0,1
gui.LogInController.setServiceMessage(ServiceMessage),0,1
gui.LogInController.setServiceUser(ServiceUser),0,1
gui.LoggedInController.initialize(),4,2
gui.LoggedInController.onAcceptRequestSelectionChanged(Event),1,2
gui.LoggedInController.onChatListSelectionChangead(Event),1,2
gui.LoggedInController.onEraseFriendButtonClicked(ActionEvent),2,3
gui.LoggedInController.onEraseRequestSelectionChanged(Event),1,2
gui.LoggedInController.onLogOutButtonClicked(ActionEvent),1,2
gui.LoggedInController.onLoggedInSelectionChanged(Event),1,2
gui.LoggedInController.onMakeRequestSelectionChanged(Event),1,2
gui.LoggedInController.setServiceFriendship(ServiceFriendship),0,1
gui.LoggedInController.setServiceMessage(ServiceMessage),0,1
gui.LoggedInController.setServiceUser(ServiceUser),0,1
gui.LoggedInController.setUser(User),0,1
gui.LoggedInController.tryUpdate(),2,4
gui.LoggedInController.updateListView(),0,1
gui.Main.main(String[]),0,1
gui.Main.start(Stage),0,1
gui.MakeFriendRequestController.initialize(),4,2
gui.MakeFriendRequestController.onAddFriendButtonClicked(ActionEvent),2,3
gui.MakeFriendRequestController.onFriendNameTyped(KeyEvent),0,1
gui.MakeFriendRequestController.setServiceFriendship(ServiceFriendship),0,1
gui.MakeFriendRequestController.setServiceUser(ServiceUser),0,1
gui.MakeFriendRequestController.setUser(User),0,1
gui.MakeFriendRequestController.tryUpdate(),2,4
gui.MakeFriendRequestController.updateListView(),2,2
"gui.MessageListCell.MessageListCell(ListView<Message>, ServiceUser)",0,1
"gui.MessageListCell.updateItem(Message, boolean)",5,4
gui.RegisterController.onButtonRegisterClicked(ActionEvent),3,4
gui.RegisterController.onLinkLogInClicked(ActionEvent),1,2
gui.RegisterController.setServiceFriendship(ServiceFriendship),0,1
gui.RegisterController.setServiceMessage(ServiceMessage),0,1
gui.RegisterController.setServiceUser(ServiceUser),0,1
"gui.TableViewRow.TableViewRow(User, FriendshipRequest)",0,1
gui.TableViewRow.getFriendshipRequest(),0,1
gui.TableViewRow.getUser(),0,1
gui.TableViewRow.setFriendshipRequest(FriendshipRequest),0,1
gui.TableViewRow.setUser(User),0,1
"repo.friendship.RepoFriendshipDB.RepoFriendshipDB(String, String, String)",0,1
repo.friendship.RepoFriendshipDB.erase(FriendshipId),2,3
repo.friendship.RepoFriendshipDB.find(FriendshipId),3,3
repo.friendship.RepoFriendshipDB.getAll(),2,3
repo.friendship.RepoFriendshipDB.readItem(ResultSet),3,4
repo.friendship.RepoFriendshipDB.store(Friendship),3,3
repo.friendship.RepoFriendshipDB.update(Friendship),2,3
repo.friendship.RepoFriendshipInmem.RepoFriendshipInmem(),0,1
repo.friendship.RepoFriendshipInmem.erase(FriendshipId),1,2
repo.friendship.RepoFriendshipInmem.find(FriendshipId),1,2
repo.friendship.RepoFriendshipInmem.getAll(),0,1
repo.friendship.RepoFriendshipInmem.store(Friendship),1,2
repo.friendship.RepoFriendshipInmem.update(Friendship),1,2
"repo.friendship.RepoFriendshipRequestDb.RepoFriendshipRequestDb(String, String, String)",0,1
repo.friendship.RepoFriendshipRequestDb.erase(FriendshipRequestId),2,3
repo.friendship.RepoFriendshipRequestDb.find(FriendshipRequestId),3,3
repo.friendship.RepoFriendshipRequestDb.getAll(),2,3
repo.friendship.RepoFriendshipRequestDb.readItem(ResultSet),3,4
repo.friendship.RepoFriendshipRequestDb.store(FriendshipRequest),3,3
repo.friendship.RepoFriendshipRequestDb.update(FriendshipRequest),2,3
repo.friendship.RepoFriendshipTextFile.RepoFriendshipTextFile(String),0,1
repo.friendship.RepoFriendshipTextFile.erase(FriendshipId),0,1
repo.friendship.RepoFriendshipTextFile.readAllFromFile(),8,6
repo.friendship.RepoFriendshipTextFile.store(Friendship),0,1
repo.friendship.RepoFriendshipTextFile.update(Friendship),0,1
repo.friendship.RepoFriendshipTextFile.writeAllToFile(),2,3
repo.friendship_request.RepoFriendshipRequestInmem.RepoFriendshipRequestInmem(),0,1
repo.friendship_request.RepoFriendshipRequestInmem.erase(FriendshipRequestId),1,2
repo.friendship_request.RepoFriendshipRequestInmem.find(FriendshipRequestId),1,2
repo.friendship_request.RepoFriendshipRequestInmem.getAll(),0,1
repo.friendship_request.RepoFriendshipRequestInmem.store(FriendshipRequest),1,2
repo.friendship_request.RepoFriendshipRequestInmem.update(FriendshipRequest),1,2
"repo.message.RepoMessageDb.RepoMessageDb(String, String, String)",0,1
repo.message.RepoMessageDb.erase(UUID),2,3
repo.message.RepoMessageDb.find(UUID),3,3
repo.message.RepoMessageDb.getAll(),2,3
repo.message.RepoMessageDb.readItem(ResultSet),5,6
repo.message.RepoMessageDb.store(Message),3,3
repo.message.RepoMessageDb.update(Message),2,3
repo.message.RepoMessageInmem.RepoMessageInmem(),0,1
repo.message.RepoMessageInmem.erase(UUID),1,2
repo.message.RepoMessageInmem.find(UUID),1,2
repo.message.RepoMessageInmem.getAll(),0,1
repo.message.RepoMessageInmem.store(Message),1,2
repo.message.RepoMessageInmem.update(Message),1,2
"repo.user.RepoUserDB.RepoUserDB(String, String, String)",0,1
repo.user.RepoUserDB.erase(UUID),2,3
repo.user.RepoUserDB.find(UUID),3,3
repo.user.RepoUserDB.getAll(),2,3
repo.user.RepoUserDB.readItem(ResultSet),2,3
repo.user.RepoUserDB.store(User),3,3
repo.user.RepoUserDB.update(User),2,3
repo.user.RepoUserInmem.RepoUserInmem(),0,1
repo.user.RepoUserInmem.erase(UUID),1,2
repo.user.RepoUserInmem.find(UUID),1,2
repo.user.RepoUserInmem.getAll(),0,1
repo.user.RepoUserInmem.store(User),1,2
repo.user.RepoUserInmem.update(User),1,2
repo.user.RepoUserTextFile.RepoUserTextFile(String),0,1
repo.user.RepoUserTextFile.erase(UUID),0,1
repo.user.RepoUserTextFile.readAllFromFile(),8,6
repo.user.RepoUserTextFile.store(User),0,1
repo.user.RepoUserTextFile.update(User),0,1
repo.user.RepoUserTextFile.writeAllToFile(),2,3
"service.ServiceFriendship.ServiceFriendship(RepoUser, RepoFriendship, RepoFriendshipRequest)",0,1
"service.ServiceFriendship.acceptFriendshipRequest(UUID, UUID)",1,2
"service.ServiceFriendship.addFriendship(UUID, UUID)",0,1
"service.ServiceFriendship.areFriends(UUID, UUID)",1,2
service.ServiceFriendship.getCommunities(),4,4
service.ServiceFriendship.getCommunitiesCount(),0,1
service.ServiceFriendship.getCommunitiesDisjointSet(),2,3
"service.ServiceFriendship.getFriendshipRequest(UUID, UUID)",0,1
service.ServiceFriendship.getFriendships(),0,1
"service.ServiceFriendship.getLongestPath(UUID, HashSet<UUID>, HashMap<UUID, ArrayList<UUID>>)",11,5
service.ServiceFriendship.getMostSociableCommunity(),13,9
"service.ServiceFriendship.makeFriendshipRequest(UUID, UUID)",0,1
"service.ServiceFriendship.removeFriendship(UUID, UUID)",0,1
"service.ServiceFriendship.removeFriendshipRequest(UUID, UUID)",0,1
"service.ServiceMessage.ServiceMessage(RepoUser, RepoMessage)",0,1
service.ServiceMessage.getAll(),0,1
"service.ServiceMessage.send(UUID, UUID, String)",1,2
"service.ServiceUser.ServiceUser(RepoUser, RepoFriendship)",0,1
service.ServiceUser.addUser(String),0,1
service.ServiceUser.findById(UUID),0,1
service.ServiceUser.findByName(String),3,3
service.ServiceUser.findUsersByName(String),3,3
service.ServiceUser.getUsers(),0,1
service.ServiceUser.removeUser(UUID),4,4
"updateItem(User, boolean)",2,n/a
util.DisjointSet.DisjointSet(),0,1
"util.DisjointSet.connected(T, T)",0,1
util.DisjointSet.find(T),3,3
util.DisjointSet.getSets(),0,1
util.DisjointSet.getSetsWithCanonicalElement(),3,3
"util.DisjointSet.union(T, T)",0,1
util.valid.NameValidator.validate(String),4,4

Class,CBO,DIT,LCOM,NOC,WMC
domain.Friendship,7,1,2,0,3
domain.FriendshipId,7,1,2,0,7
domain.FriendshipRequest,7,1,2,0,3
domain.FriendshipRequestId,5,1,2,0,7
domain.Message,6,1,5,0,6
domain.User,16,1,2,0,8
gui.AcceptFriendRequestController,7,1,2,0,10
gui.ChatController,5,1,2,0,9
gui.ChatListController,6,1,1,0,12
gui.Constants,4,1,0,0,0
gui.CustomListCell,4,9,1,0,3
gui.EraseFriendRequestController,6,1,2,0,8
gui.LogInController,9,1,1,0,5
gui.LoggedInController,12,1,1,0,23
gui.Main,13,2,2,0,2
gui.MakeFriendRequestController,6,1,1,0,12
gui.MessageListCell,5,9,1,0,3
gui.RegisterController,10,1,1,0,5
gui.TableViewRow,3,1,2,0,5
repo.exception.ItemAlreadyExistsException,16,3,0,0,0
repo.exception.ItemDoesntExistException,21,3,0,0,0
repo.friendship.RepoFriendship,8,1,0,2,0
repo.friendship.RepoFriendshipDB,6,2,1,0,12
repo.friendship.RepoFriendshipInmem,6,2,1,1,10
repo.friendship.RepoFriendshipRequestDb,6,2,1,0,12
repo.friendship.RepoFriendshipTextFile,5,3,1,0,8
repo.friendship_request.RepoFriendshipRequest,7,1,0,2,0
repo.friendship_request.RepoFriendshipRequestInmem,5,2,1,0,10
repo.message.RepoMessage,6,1,0,2,0
repo.message.RepoMessageDb,5,2,1,0,12
repo.message.RepoMessageInmem,4,2,1,0,10
repo.user.RepoUser,8,1,0,2,0
repo.user.RepoUserDB,5,2,1,0,12
repo.user.RepoUserInmem,5,2,1,1,10
repo.user.RepoUserTextFile,7,3,1,0,9
service.ServiceFriendship,21,1,1,0,31
service.ServiceMessage,11,1,1,0,3
service.ServiceUser,19,1,1,0,13
service.exception.DependencyDetectedException,1,3,0,0,0
util.DisjointSet,1,1,1,0,10
util.valid.NameValidator,4,1,1,0,4
util.valid.exception.InvalidNameException,3,5,0,0,0
util.valid.exception.ValidatorException,1,4,0,1,0

Interface,CBO
repo.Repo,9
util.valid.ValidationStrategy,1

Package,Ca,Ce,I
domain,412,0,0.00
gui,0,237,1.00
repo,31,4,0.11
repo.exception,100,0,0.00
repo.friendship,6,82,0.93
repo.friendship_request,4,62,0.94
repo.message,4,50,0.93
repo.user,8,59,0.88
service,72,159,0.69
service.exception,2,0,0.00
util,7,0,0.00
util.valid,6,2,0.25
util.valid.exception,3,0,0.00

