p,p_r,runner,time
0,0,cpp,0.0126253
0,0,cpp,0.00223755
0,0,cpp,0.00217265
0,0,cpp,0.00217043
0,0,cpp,0.00222903
0,0,cpp,0.00218976
0,0,cpp,0.00219043
0,0,cpp,0.00222562
0,0,cpp,0.0023577
0,0,cpp,0.00238177
4,1,cpp,0.00398895
4,1,cpp,0.0039938
4,1,cpp,0.00402226
4,1,cpp,0.0040897
4,1,cpp,0.00399719
4,1,cpp,0.00401137
4,1,cpp,0.00393924
4,1,cpp,0.00452087
4,1,cpp,0.00395448
4,1,cpp,0.00393225
4,2,cpp,0.00398547
4,2,cpp,0.00379913
4,2,cpp,0.00360971
4,2,cpp,0.00377493
4,2,cpp,0.00369475
4,2,cpp,0.00367984
4,2,cpp,0.0037023
4,2,cpp,0.00367301
4,2,cpp,0.0037416
4,2,cpp,0.00388685
6,1,cpp,0.00533834
6,1,cpp,0.00592161
6,1,cpp,0.00556095
6,1,cpp,0.00606243
6,1,cpp,0.00603723
6,1,cpp,0.00551982
6,1,cpp,0.00615566
6,1,cpp,0.00516247
6,1,cpp,0.0055317
6,1,cpp,0.00615029
6,2,cpp,0.00534695
6,2,cpp,0.00475951
6,2,cpp,0.00512349
6,2,cpp,0.00504444
6,2,cpp,0.00513429
6,2,cpp,0.00455294
6,2,cpp,0.00494562
6,2,cpp,0.00435992
6,2,cpp,0.00437294
6,2,cpp,0.0043638
8,1,cpp,0.00622918
8,1,cpp,0.00518769
8,1,cpp,0.00614659
8,1,cpp,0.0054513
8,1,cpp,0.00622297
8,1,cpp,0.00605579
8,1,cpp,0.00627369
8,1,cpp,0.00618558
8,1,cpp,0.00512184
8,1,cpp,0.0062911
8,2,cpp,0.00630208
8,2,cpp,0.0062768
8,2,cpp,0.00590938
8,2,cpp,0.00602718
8,2,cpp,0.00581661
8,2,cpp,0.00595538
8,2,cpp,0.00615946
8,2,cpp,0.0062128
8,2,cpp,0.00603232
8,2,cpp,0.00634591
16,1,cpp,0.00941655
16,1,cpp,0.00972643
16,1,cpp,0.00909129
16,1,cpp,0.00949162
16,1,cpp,0.00972865
16,1,cpp,0.00971903
16,1,cpp,0.0101422
16,1,cpp,0.00991916
16,1,cpp,0.00949393
16,1,cpp,0.00895079
16,2,cpp,0.00985152
16,2,cpp,0.00917328
16,2,cpp,0.00885482
16,2,cpp,0.00924299
16,2,cpp,0.00827842
16,2,cpp,0.00885546
16,2,cpp,0.0092935
16,2,cpp,0.0087963
16,2,cpp,0.00988111
16,2,cpp,0.00905476
